n,day,state
173,2020-03-10,New York
220,2020-03-11,New York
328,2020-03-12,New York
421,2020-03-13,New York
525,2020-03-14,New York
732,2020-03-15,New York
967,2020-03-16,New York
1706,2020-03-17,New York
2495,2020-03-18,New York
5365,2020-03-19,New York
8310,2020-03-20,New York
11710,2020-03-21,New York
15800,2020-03-22,New York
20884,2020-03-23,New York
25681,2020-03-24,New York
30841,2020-03-25,New York
12,2020-03-10,Illinois
25,2020-03-11,Illinois
32,2020-03-12,Illinois
46,2020-03-13,Illinois
64,2020-03-14,Illinois
93,2020-03-15,Illinois
105,2020-03-16,Illinois
161,2020-03-17,Illinois
162,2020-03-18,Illinois
422,2020-03-19,Illinois
585,2020-03-20,Illinois
753,2020-03-21,Illinois
1049,2020-03-22,Illinois
1285,2020-03-23,Illinois
1537,2020-03-24,Illinois
1865,2020-03-25,Illinois
267,2020-03-10,Washington
366,2020-03-11,Washington
442,2020-03-12,Washington
568,2020-03-13,Washington
572,2020-03-14,Washington
643,2020-03-15,Washington
904,2020-03-16,Washington
1076,2020-03-17,Washington
1014,2020-03-18,Washington
1376,2020-03-19,Washington
1524,2020-03-20,Washington
1793,2020-03-21,Washington
1997,2020-03-22,Washington
2221,2020-03-23,Washington
2328,2020-03-24,Washington
2591,2020-03-25,Washington
15,2020-03-10,Florida
28,2020-03-11,Florida
35,2020-03-12,Florida
50,2020-03-13,Florida
76,2020-03-14,Florida
115,2020-03-15,Florida
155,2020-03-16,Florida
216,2020-03-17,Florida
314,2020-03-18,Florida
417,2020-03-19,Florida
563,2020-03-20,Florida
659,2020-03-21,Florida
1004,2020-03-22,Florida
1227,2020-03-23,Florida
1412,2020-03-24,Florida
1682,2020-03-25,Florida
